replicate	reference_component	replicate_component	matched	signed_similarity	absolute_similarity	orientation	assignment_margin	index_recurrent	proposal_rank	rank_one	nominated_reference
70	1	1	TRUE	0.955989839665546	0.955989839665546	1	0.666595695446254	TRUE	1	TRUE	TRUE
70	2	2	TRUE	0.955637207304733	0.955637207304733	1	0.66580079568835	TRUE	3	FALSE	FALSE
70	3	3	TRUE	0.991848743593166	0.991848743593166	1	0.949383084819796	TRUE	2	FALSE	FALSE
71	1	1	TRUE	0.998455597458277	0.998455597458277	1	0.95980258242427	TRUE	1	TRUE	TRUE
71	2	2	TRUE	0.997734624119273	0.997734624119273	1	0.932842913079625	TRUE	2	FALSE	FALSE
71	3	3	TRUE	0.938885718218179	0.938885718218179	1	0.878530962951733	TRUE	3	FALSE	FALSE
72	1	1	TRUE	0.999805768590977	0.999805768590977	1	0.984992933106604	TRUE	1	TRUE	TRUE
72	2	2	TRUE	0.998426161768843	0.998426161768843	1	0.983256917980042	TRUE	2	FALSE	FALSE
72	3	3	TRUE	0.276998740778052	0.276998740778052	1	0.221766230106625	TRUE	3	FALSE	FALSE
73	1	1	TRUE	0.98504088354128	0.98504088354128	1	0.81516174676409	TRUE	1	TRUE	TRUE
73	2	2	TRUE	-0.964688490777663	0.964688490777663	-1	0.768227252565411	TRUE	2	FALSE	FALSE
73	3	3	TRUE	0.976982465568045	0.976982465568045	1	0.782786797891878	TRUE	3	FALSE	FALSE
74	1	1	TRUE	0.99471162221159	0.99471162221159	1	0.896997077045709	TRUE	1	TRUE	TRUE
74	2	2	TRUE	-0.99362239443294	0.99362239443294	-1	0.89646122503414	TRUE	2	FALSE	FALSE
74	3	3	TRUE	0.978721916882003	0.978721916882003	1	0.939556723131845	TRUE	3	FALSE	FALSE
75	1	1	TRUE	0.994612357063163	0.994612357063163	1	0.891197868607088	TRUE	1	TRUE	TRUE
75	2	2	TRUE	0.994557818281519	0.994557818281519	1	0.891244098032088	TRUE	2	FALSE	FALSE
75	3	3	TRUE	0.99813090612648	0.99813090612648	1	0.990578391526446	TRUE	3	FALSE	FALSE
